id,age,city
1,1,Maoyang
2,2,Cikarang
3,3,Batsari
4,4,Semanding
5,5,Azogues
6,6,Kulautuva
7,7,Tembladera
8,8,Syriam
9,9,Cabeço
10,10,Ciudad Cortés
11,11,Bazzāryah
12,12,Gongju
13,13,Biên Hòa
14,14,Agiásos
15,15,Dakingari
16,16,Kandang Timur
17,17,Bayasgalant
18,18,Padre Las Casas
19,19,Kramfors
20,20,Mosfilotí
21,21,Salima
22,22,Kalilu
23,23,Františkovy Lázně
24,24,Puszczykowo
25,25,Icó
26,26,Orekhovo-Zuyevo
27,27,London
28,28,Bendorubuh
29,29,Goght’
30,30,Plumbangan
31,31,Baratan
32,32,Bay-ang
33,33,Huayuan
34,34,Malakal
35,35,Saint-Denis
36,36,Barishāl
37,37,Kota Kinabalu
38,38,Iraquara
39,39,Gaojingzhuang
40,40,Zaymishche
41,41,Virbalis
42,42,Taiyu
43,43,Tabira
44,44,New Orleans
45,45,São Gabriel
46,46,Bailizhou
47,47,Berëzovskiy
48,48,Cigintung
49,49,Zhangdan
50,50,Sanzao
51,51,Varginha
52,52,Bayan
53,53,Cochabamba
54,54,Khrenovoye
55,55,Phalaborwa
56,56,Xiangyang
57,57,Qionghai
58,58,Fengjiang
59,59,Mount Ayliff
60,60,Mucumpiz
61,61,Jagiełła
62,62,Ukrainka
63,63,Niort
64,64,Mikuni
65,65,Luga
66,66,Józefów
67,67,Heyin
68,68,Deskle
69,69,San José de Miranda
70,70,Lidingö
71,71,Wa’eryi
72,72,Maqbanah
73,73,Tešanj
74,74,Thị Trấn Thanh Lưu
75,75,Ushi
76,76,Paris 02
77,77,Anjepy
78,78,Parizh
79,79,Aldeia da Mata
80,80,Kademangan
81,81,Rungkam
82,82,Shlissel’burg
83,83,Lyon
84,84,São Pedro
85,85,Shar’ya
86,86,Skillingaryd
87,87,Kiuruvesi
88,88,Huata
89,89,Gocoton
90,90,Prochnookopskaya
91,91,Prado
92,92,Pétange
93,93,Kafr Şūr
94,94,Göteborg
95,95,Zaysan
96,96,Bueng Kum
97,97,Ganjaran
98,98,San Vicente
99,99,Matiao
100,100,Anserma
