id,age,city
1,1,Waśniów
2,2,Qingliu
3,3,Nusajaya
4,4,Skoroszyce
5,5,Safotulafai
6,6,Rumbek
7,7,Cengang
8,8,Pervomayskoye
9,9,Tembongraja
10,10,Fray Bentos
11,11,Bằng Lũng
12,12,Criciúma
13,13,Židlochovice
14,14,Zipaquirá
15,15,Watulabara
16,16,Gjoa Haven
17,17,Sioguí Arriba
18,18,Yëlkino
19,19,Zuénoula
20,20,San Martín Zapotitlán
21,21,Yeoju
22,22,Umeå
23,23,Boa Esperança
24,24,Bonoua
25,25,Newport
26,26,Mvuma
27,27,Saint Cloud
28,28,Heping
29,29,Linköping
30,30,Kohlu
31,31,Rego de Água
32,32,Seara
33,33,Sumberan
34,34,Al ‘Āliyah
35,35,Orleans
36,36,Telč
37,37,Merkezköy
38,38,Mikulintsy
39,39,Priiskovyy
40,40,Gaillac
41,41,Alpūrai
42,42,Telagaselaba
43,43,Xinjiezhen
44,44,Lyskovo
45,45,Tršić
46,46,Akhtopol
47,47,Strumica
48,48,Torreira
49,49,Kampungruweh
50,50,Libas
51,51,Chengbei
52,52,Sidi Bousber
53,53,Yazd
54,54,Pingwang
55,55,Seattle
56,56,Nangka
57,57,Jianshe
58,58,Muli
59,59,Saýat
60,60,Padang
61,61,Zaleszany
62,62,Hanamaki
63,63,Lālmohan
64,64,Gourma Rharous
65,65,Mzimba
66,66,Longhua
67,67,New York City
68,68,Wongka
69,69,Kosiv
70,70,Bothaville
71,71,Monte de Fralães
72,72,Sanyantang
73,73,Verkhniy Baskunchak
74,74,Bakung
75,75,Bang Yai
76,76,Casal dos Bernardos
77,77,Krajan Tengah
78,78,Puračić
79,79,Lubochnia
80,80,Dolní Kounice
81,81,Uchkulan
82,82,Lyon
83,83,Galátsi
84,84,Gaide
85,85,Kuštilj
86,86,Bayanhoshuu
87,87,Itoigawa
88,88,Quellouno
89,89,Burlatskoye
90,90,General Vedia
91,91,Nantang
92,92,Getazat
93,93,Sukorejo
94,94,Janas
95,95,Przemków
96,96,Trebisht-Muçinë
97,97,Karangtengah
98,98,Panacan
99,99,Grzybowa Góra
100,100,Ḩajjah
101,101,Notranje Gorice
102,102,Mnich
103,103,Khabarovsk
104,104,Duyure
105,105,Envigado
106,106,Pau
107,107,San Juan del Cesar
108,108,Villach
109,109,Drohiczyn
110,110,Tegalgede
111,111,Lanling
112,112,Giraldo
113,113,El Hamma
114,114,Oranzherei
115,115,Bali
116,116,Novi Travnik
117,117,Tucuruí
118,118,Xingfu
119,119,Wentugaole
120,120,Khon Buri
121,121,Phoenix
122,122,Gaiyang
123,123,Yufrus
124,124,Sexiong
125,125,Leifeng
126,126,Yuanquan
127,127,Laiguangying
128,128,Parelhas
129,129,Mîndreşti
130,130,Songea
131,131,Polje
132,132,Al ‘Awjah
133,133,Ambositra
134,134,Richmond
135,135,Vitória do Mearim
136,136,Kotawaikabubak
137,137,Zuocun
138,138,Tama
139,139,Huallanca
140,140,Takahashi
141,141,Kaduengang
142,142,Malkā
143,143,Orzech
144,144,Matanog
145,145,Mishixiang
146,146,Mari
147,147,Sumbergebang
148,148,São Sebastião
149,149,Nanshan
150,150,Qingshandi
151,151,Jindong
152,152,Arraial do Cabo
153,153,San Antonio
154,154,Prince Albert
155,155,Antrukan
156,156,Shibīn al Qanāţir
157,157,Carthage
158,158,Emporeío
159,159,Mataloko
160,160,Wuyo
161,161,Jajaway
162,162,Imām Şāḩib
163,163,Kabacan
164,164,Telč
165,165,Falun
166,166,Shixi
167,167,Baniachang
168,168,Sarmanovo
169,169,Chavusy
170,170,Hujiagou
171,171,Yuping
172,172,Kema
173,173,Pirojpur
174,174,Colón
175,175,Lubenia
176,176,Nosy Varika
177,177,Gunungkendeng
178,178,Kongsvinger
179,179,Melfort
180,180,Draguignan
181,181,Cradock
182,182,Xicheng
183,183,Cesson
184,184,Yutou
185,185,Vyselki
186,186,Nusajaya
187,187,Batatais
188,188,Turze Pole
189,189,Volokonovka
190,190,Kayasula
191,191,Chengyue
192,192,Bangbayang
193,193,Fovissste
194,194,Khokhryaki
195,195,Kertanegla
196,196,Constantia
197,197,Jambulang
198,198,Yoshkar-Ola
199,199,Kyzyldzhar
200,200,Anzhero-Sudzhensk
201,201,Chillia
202,202,Pandi
203,203,Huquan
204,204,Vuhlehirs’k
205,205,Yangping
206,206,Banaybanay
207,207,Kantharalak
208,208,San Rafael
209,209,Banqiao
210,210,Tangtuzhui
211,211,Rennes
212,212,Myronivka
213,213,Florencia
214,214,Strathmore
215,215,Jevremovac
216,216,Skrunda
217,217,Dashev
218,218,Saki
